name,fips,region,population,area_km2
Aitkin,1,Northland,16252,4711
Anoka,3,Twin Cities,381605,1097
Becker,5,West Central,35497,3394
Beltrami,7,Northwest,47055,6489
Benton,9,Central,41744,1057
Big Stone,11,Southwest,5054,1286
Blue Earth,13,Southern,70634,1949
Brown,15,Southern,25517,1582
Carlton,17,Northland,36711,2228
Carver,19,Twin Cities,114379,925
Cass,21,Central,31430,5226
Chippewa,23,Southwest,12406,1509
Chisago,25,Central,59142,1082
Clay,27,West Central,67734,2707
Clearwater,29,Northwest,8647,2576
Cook,31,Northland,5522,3757
Cottonwood,33,Southwest,11405,1658
Crow Wing,35,Central,69132,2581
Dakota,37,Twin Cities,457710,1475
Dodge,39,Southern,21376,1138
Douglas,41,West Central,40120,1643
Faribault,43,Southern,13888,1848
Fillmore,45,Southern,21540,2231
Freeborn,47,Southern,30440,1833
Goodhue,49,Southern,48195,1964
Grant,51,West Central,6085,1415
Hennepin,53,Twin Cities,1284784,1442
Houston,55,Southern,18400,1447
Hubbard,57,Northwest,22369,2389
Isanti,59,Central,44386,1137
Itasca,61,Northland,45404,6902
Jackson,63,Southwest,9857,1817
Kanabec,65,Central,16628,1360
Kandiyohi,67,Southwest,44720,2062
Kittson,69,Northwest,4031,2841
Koochiching,71,Northland,11587,8035
Lac qui Parle,73,Southwest,6704,1981
Lake,75,Northland,10746,5437
Lake of the Woods,77,Northwest,3770,3358
Le Sueur,79,Southern,29453,1162
Lincoln,81,Southwest,5583,1391
Lyon,83,Southwest,25684,1850
McLeod,85,Southwest,36631,1274
Mahnomen,87,Northwest,5153,1440
Marshall,89,Northwest,8798,4590
Martin,91,Southern,19440,1837
Meeker,93,Southwest,23603,1576
Mille Lacs,95,Central,27753,1488
Morrison,97,Central,34620,2912
Mower,99,Southern,40971,1843
Murray,101,Southwest,7942,1824
Nicollet,103,Southern,34273,1171
Nobles,105,Southwest,22338,1853
Norman,107,Northwest,6336,2270
Olmsted,109,Southern,166731,1691
Otter Tail,111,West Central,61041,5127
Pennington,113,Northwest,13686,1597
Pine,115,Central,30472,3655
Pipestone,117,Southwest,9260,1207
Polk,119,Northwest,30545,5103
Pope,121,West Central,11420,1736
Ramsey,123,Twin Cities,541623,403
Red Lake,125,Northwest,3940,1120
Redwood,127,Southwest,15265,2278
Renville,129,Southwest,14356,2546
Rice,131,Southern,69939,1289
Rock,133,Southwest,9524,1250
Roseau,135,Northwest,15246,4306
Saint Louis,137,Northland,200518,16123
Scott,139,Twin Cities,159017,924
Sherburne,141,Central,104194,1130
Sibley,143,Southern,15356,1525
Stearns,145,Central,164110,3482
Steele,147,Southern,37464,1113
Stevens,149,West Central,9747,1456
Swift,151,Southwest,9763,1926
Todd,153,Central,26060,2440
Traverse,155,West Central,3130,1487
Wabasha,157,Southern,21537,1360
Wadena,159,Central,14388,1386
Waseca,161,Southern,18688,1096
Washington,163,Twin Cities,286895,1014
Watonwan,165,Southern,11459,1125
Wilkin,167,West Central,6288,1947
Winona,169,Southern,50523,1622
Wright,171,Central,157559,1711
Yellow Medicine,173,Southwest,9477,1963
